id,name,gender,birth,nationality
676,"Auerbach, Frank",Male,1931,Germany
14648,"Augustyniak, Mathias",Male,1968,France
15,"Aumonier, James",Male,1832,
2398,"Austen, David",Male,1960,United Kingdom
677,"Austin, Robert",Male,1895,United Kingdom
5711,"Avedon, Richard",Male,1923,
10764,"Avery, Charles",Male,1973,United Kingdom
678,"Avery, Milton",Male,1893,United States
2714,"Aviline, François Antoine",Male,1727,
2479,"Aylesford, Heneage Finch, Fifth Earl of",Male,1786,
2480,"Aylesford, Heneage Finch, Fourth Earl of",Male,1751,
679,"Ayot, Pierre",Male,1943, Canada
680,"Ayres, OBE Gillian",Female,1930,
681,"Ayrton, Michael",Male,1921,
14743,"Baalbaki, Ayman",Male,1975, Al-Lubnan
13866,"Bäckström, Miriam",Female,1967,Sweeden
682,"Bacon, Francis",Male,1909,United Kingdom
18070,"Bacon, John",,1740,
683,"Bacon, John Henry F.",Male,1868,United Kingdom
2370,"Bacon, Sir Nathaniel",Male,1585,
12918,"Baehnisch, Ruth",,1910,
684,"Baer, Jo",Female,1929,United States
685,"Baertling, Olle",Male,1911,Sweeden
16,"Baily, Edward Hodges",Male,1788,United Kingdom
686,"Baj, Enrico",Male,1924,Italy
13678,"Bakhshi Moakhar, Mahmoud",Male,1977, Îran
687,"Baldessari, John",Male,1931,United States
2360,"Balka, Miroslaw",Male,1958,Poland
688,"Balla, Giacomo",Male,1871,Italy
12038,"Ballen, Roger",Male,1950,
5373,"Baltz, Lewis",Male,1945,United States
690,"Banc, Jef",Male,1930,France
2687,"Banner, Fiona",Female,1966,United Kingdom
691,"Banting, John",Male,1902,
692,"Baran, Stefan",Male,1922,France
4731,"Barclay, Claire",Female,1968,United Kingdom
18,"Barenger, James",Male,1780,
12686,"Barham, Anna",Female,1974,United Kingdom
693,"Barker, Clive",Male,1940,United Kingdom
694,"Barker, Margaret",Female,1907,United Kingdom
19,"Barker, Thomas, of Bath",Male,1769,United Kingdom
695,"Barlach, Ernst",Male,1870,
20,"Barlow, Francis",Male,1626,
10908,"Barlow, Phyllida",Female,1944,United Kingdom
2476,"Barnard, Rev. William Henry",Male,1767,
2362,"Barney, Matthew",Male,1967,United States
696,"Barni, Roberto",Male,1939,Italy
697,"Barns-Graham, Wilhelmina",Female,1912,United Kingdom
14953,"Barrada, Yto",Female,1971,France
22,"Barret, George, Junior",Male,1767,
21,"Barret, George, Senior",Male,1728,Ireland
10168,"Barriball, Anna",Female,1972,
23,"Barron, Hugh",Male,1747,
14311,"Barros, Geraldo de",Male,1923,
2477,"Barrow, Joseph Charles",Male,1789,
24,"Barry, James",Male,1741,Ireland
6882,"Bartana, Yael",Female,1970,Israel
2678,"Barth, Uta",Female,1958,Germany
698,"Bartlett, Jennifer",Female,1941,United States
2478,"Bartolozzi, Francesco",Male,1727,Italy
6217,"Basbaum, Ricardo",Male,1961, Brasil
699,"Baselitz, Georg",Male,1938,Germany
700,"Baskin, Leonard",Male,1922,United States
4915,"Batchelor, David",Male,1955,United Kingdom
25,"Bateman, James",Male,1815,
701,"Bateman, James",Male,1893,United Kingdom
26,"Bates, Harry",Male,1850,United Kingdom
702,"Bates, Maxwell",Male,1906, Canada
8807,"Batterham, Richard",Male,1936,United Kingdom
703,"Bauchant, André",Male,1873,France
704,"Bauer, Marius",Male,1867, Nederland
705,"Baumeister, Willi",Male,1889,Germany
706,"Baumgarten, Lothar",Male,1944,Germany
707,"Bawden, Edward",Male,1903,
708,"Bawden, Richard",Male,1936,United Kingdom
709,"Baxter, Glen",Male,1944,United Kingdom
710,"Baxter, Iain",Male,1936,United Kingdom
2413,"Baxter, Thomas Tennant",Male,1894,
711,"Bayer, Herbert",Male,1900,Austria
712,"Bayes, Gilbert",Male,1872,United Kingdom
713,"Bayes, Walter",Male,1869,United Kingdom
6275,"Baynard, Ed",Male,1940,United States
714,"Baziotes, William",Male,1912,United States
